indice,tiempo_s,adc_raw,ecg_filtrado,bpm_estimado
489,1.357464,316,-25.297638,
490,1.360240,317,-25.339385,
491,1.363016,318,-25.388872,
492,1.365792,319,-25.036369,
493,1.368568,320,-24.122365,
494,1.371344,320,-22.812479,
495,1.374120,320,-21.549789,
496,1.376896,319,-20.771964,
497,1.379672,319,-20.604930,
498,1.382448,319,-20.741061,
499,1.385224,318,-20.854080,
500,1.388000,317,-20.948747,
501,1.390776,316,-21.182055,
502,1.393552,315,-21.674762,
503,1.396328,314,-22.424716,
504,1.399104,314,-23.201496,
505,1.401880,314,-23.650482,
506,1.404656,314,-23.627830,
507,1.407432,314,-23.288402,
508,1.410208,314,-22.881905,
509,1.412984,315,-22.478748,
510,1.415760,315,-21.973947,
511,1.418536,316,-21.277493,
512,1.421312,315,-20.463180,
513,1.424088,314,-19.878965,
514,1.426864,313,-19.816938,
515,1.429640,312,-20.255862,
516,1.432416,311,-20.990498,
517,1.435192,310,-21.776654,
518,1.437968,309,-22.467716,
519,1.440744,309,-22.990433,
520,1.443520,308,-23.356957,
521,1.446296,306,-23.806769,
522,1.449072,304,-24.596414,
523,1.451848,304,-25.566901,
524,1.454624,305,-26.188764,
525,1.457400,305,-26.186054,
526,1.460176,304,-25.865951,
527,1.462952,303,-25.678888,
528,1.465728,301,-25.853032,
529,1.468504,299,-26.464312,
530,1.471280,298,-27.406671,
531,1.474056,297,-28.434772,
532,1.476832,296,-29.399720,
533,1.479608,295,-30.251677,
534,1.482384,292,-31.095024,
535,1.485160,290,-32.143692,
536,1.487936,289,-33.338047,
537,1.490712,288,-34.442062,
538,1.493488,288,-35.299321,
539,1.496264,288,-35.760039,
540,1.499040,288,-35.739457,
541,1.501816,289,-35.214017,
542,1.504592,289,-34.265078,
543,1.507368,289,-33.207892,
544,1.510144,290,-32.259053,
545,1.512920,292,-31.231510,
546,1.515696,295,-29.715093,
547,1.518472,297,-27.506568,
548,1.521248,298,-24.907706,
549,1.524024,300,-22.361867,
550,1.526800,303,-19.921926,
551,1.529576,304,-17.521593,
552,1.532352,307,-15.175742,
553,1.535128,311,-12.597067,
554,1.537904,317,-9.284416,
555,1.540680,322,-5.024364,
556,1.543456,326,-0.172402,
557,1.546232,329,4.628953,
558,1.549008,333,9.029069,
559,1.551784,336,13.037801,
560,1.554560,338,16.590775,
561,1.557336,339,19.435387,
562,1.560112,341,21.508821,
563,1.562888,341,22.962139,
564,1.565664,342,23.926788,
565,1.568440,343,24.627372,
566,1.571216,344,25.289568,
567,1.573992,346,26.044584,
568,1.576768,347,26.964907,
569,1.579544,347,27.886022,
570,1.582320,348,28.631705,
571,1.585096,349,29.287870,
572,1.587872,350,29.961899,
573,1.590648,351,30.637152,
574,1.593424,351,31.208329,
575,1.596200,351,31.541551,
576,1.598976,353,31.784677,
577,1.601752,353,32.186100,
578,1.604528,353,32.597094,
579,1.607304,352,32.686865,
580,1.610080,351,32.273434,
581,1.612856,350,31.399315,
582,1.615632,350,30.334094,
583,1.618408,349,29.317636,
584,1.621184,349,28.400610,
585,1.623960,349,27.630009,
586,1.626736,348,26.984571,
587,1.629512,347,26.291246,
588,1.632288,348,25.603906,
589,1.635064,349,25.243303,
590,1.637840,349,25.268973,
591,1.640616,350,25.484708,
592,1.643392,351,25.852672,
593,1.646168,351,26.341426,
594,1.648944,350,26.680694,
595,1.651720,349,26.567810,
596,1.654496,348,25.923083,
597,1.657272,348,24.941163,
598,1.660048,349,24.041942,
599,1.662824,350,23.618498,
600,1.665600,350,23.694883,
601,1.668376,350,23.973870,
602,1.671152,350,24.185233,
603,1.673928,349,24.143051,
604,1.676704,348,23.688718,
605,1.679480,347,22.829341,
606,1.682256,345,21.643808,
607,1.685032,345,20.278967,
608,1.687808,346,19.147486,
609,1.690584,347,18.616783,
610,1.693360,348,18.704972,
611,1.696136,347,19.093524,
